"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL4321";"Cyclooxygenase-2";"Q05769";"SINGLE PROTEIN";"Mus musculus";"1193";"1915";"10090";"False"
"CHEMBL4523964";"COX-1/COX-2";"P35354|P23219";"SELECTIVITY GROUP";"Homo sapiens";"171";"176";"9606";"False"
"CHEMBL2095157";"Cyclooxygenase";"P35355|Q63921";"PROTEIN FAMILY";"Rattus norvegicus";"757";"970";"10116";"False"
"CHEMBL230";"Cyclooxygenase-2";"P35354";"SINGLE PROTEIN";"Homo sapiens";"7380";"12202";"9606";"False"
"CHEMBL1250404";"Cytochrome c oxidase subunit 2";"O78750";"SINGLE PROTEIN";"Ovis aries";"8";"8";"9940";"False"
"CHEMBL2111349";"Prostaglandin G/H synthase (cyclooxygenase)";"P22437|Q05769";"PROTEIN FAMILY";"Mus musculus";"155";"169";"10090";"False"
"CHEMBL2111358";"Prostaglandin G/H synthase (cyclooxygenase)";"P05979|P79208";"PROTEIN FAMILY";"Ovis aries";"124";"160";"9940";"False"
"CHEMBL4033";"Cyclooxygenase-2";"Q8SPQ9";"SINGLE PROTEIN";"Canis lupus familiaris";"133";"160";"9615";"False"
"CHEMBL6174";"Cytochrome c oxidase subunit 2";"P00403";"SINGLE PROTEIN";"Homo sapiens";"109";"143";"9606";"False"
"CHEMBL4523261";"Prostaglandin G/H synthase 2";"P70682";"SINGLE PROTEIN";"Cavia porcellus";"1";"1";"10141";"False"
"CHEMBL3885623";"Prostaglandin E synthase/G/H synthase 2";"P35354|O14684";"PROTEIN FAMILY";"Homo sapiens";"4";"7";"9606";"False"
"CHEMBL2977";"Cyclooxygenase-2";"P35355";"SINGLE PROTEIN";"Rattus norvegicus";"152";"179";"10116";"False"
"CHEMBL2094253";"Cyclooxygenase";"P35354|P23219";"PROTEIN FAMILY";"Homo sapiens";"922";"1251";"9606";"False"
"CHEMBL1293198";"Prostaglandin G/H synthase 2";"O02768";"SINGLE PROTEIN";"Oryctolagus cuniculus";"17";"17";"9986";"False"
"CHEMBL2096674";"Cyclooxygenase";"O62664|O62698";"PROTEIN FAMILY";"Bos taurus";"284";"304";"9913";"False"
"CHEMBL3331";"Cyclooxygenase-2";"O62698";"SINGLE PROTEIN";"Bos taurus";"37";"38";"9913";"False"
"CHEMBL4102";"Cyclooxygenase-2";"P79208";"SINGLE PROTEIN";"Ovis aries";"1381";"1921";"9940";"False"
